uni,school,course,year,Places,GPA,RP,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,university
NUS,Faculty of Dentistry,Dentistry,2021,81,,85.0,100.0,100.0,4256.0,4200.0,4286.0,4200.0,4200.0,4600.0,National University of Singapore
NUS,Faculty of Dentistry,Dentistry,2022,80,,85.0,100.0,100.0,4331.0,4200.0,4331.0,4200.0,4200.0,4600.0,National University of Singapore
NUS,Faculty of Dentistry,Dentistry,2023,80,,85.0,100.0,100.0,4586.0,4550.0,4589.0,4550.0,4500.0,4950.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2013,91,3.79,71.25,74.0,60.0,2823.0,3000.0,3068.0,3000.0,2720.0,3250.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2014,98,3.74,72.5,87.5,77.1,2966.0,3000.0,3058.0,3000.0,2700.0,3300.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2015,100,3.82,75.0,86.2,75.9,3256.0,3200.0,3357.0,3300.0,3000.0,3500.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2016,133,3.82,77.5,91.9,80.6,3314.0,3100.0,3366.0,3200.0,3000.0,3500.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2017,158,3.87,76.25,90.6,81.3,3215.0,3200.0,3367.0,3300.0,3000.0,3700.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2018,154,3.73,71.25,79.4,69.8,3357.0,3300.0,3444.0,3389.0,3280.0,3650.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2019,161,3.71,73.75,80.4,68.6,3480.0,3500.0,3535.0,3500.0,3200.0,3800.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2020,145,3.61,75.0,95.8,53.1,3500.0,3500.0,3577.0,3500.0,3300.0,3740.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2021,185,3.57,72.5,94.4,83.3,3610.0,3500.0,3732.0,3600.0,3300.0,4000.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2022,1167,3.56,71.25,97.2,91.6,4140.0,3800.0,4268.0,4000.0,3500.0,5000.0,National University of Singapore
NUS,Faculty of Engineering,Biomedical Engineering,2023,1292,3.55,72.5,87.6,81.4,4123.0,4000.0,4243.0,4100.0,3740.0,4600.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2013,310,3.88,80.0,93.2,90.0,3245.0,3000.0,3359.0,3175.0,3000.0,3644.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2014,296,3.87,83.75,83.9,76.4,3277.0,3200.0,3434.0,3300.0,3000.0,3650.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2015,304,3.87,81.25,86.0,82.9,3400.0,3300.0,3529.0,3500.0,3000.0,4000.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2016,277,3.86,83.75,85.3,80.3,3414.0,3250.0,3562.0,3450.0,3150.0,4000.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2017,302,3.87,77.5,87.8,81.3,3550.0,3500.0,3727.0,3600.0,3300.0,4000.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2018,258,3.66,73.75,89.9,84.1,3768.0,3700.0,4050.0,4000.0,3500.0,4300.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2019,253,3.65,73.75,92.4,86.7,3802.0,3700.0,3959.0,3950.0,3500.0,4300.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2020,189,3.58,76.25,97.0,78.2,3955.0,4000.0,4155.0,4000.0,3700.0,4500.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2021,197,3.59,73.75,91.4,84.8,3793.0,3700.0,4023.0,3800.0,3600.0,4300.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2022,1167,3.56,71.25,96.6,95.5,4487.0,4400.0,4690.0,4675.0,4018.0,5100.0,National University of Singapore
NUS,Faculty of Engineering,Chemical Engineering,2023,1292,3.55,72.5,85.7,80.7,4374.0,4200.0,4602.0,4405.0,4000.0,4760.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2013,108,3.74,72.5,96.1,94.1,3140.0,3000.0,3154.0,3050.0,3000.0,3300.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2014,121,3.75,73.75,97.1,97.1,3212.0,3200.0,3281.0,3208.0,3000.0,3500.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2015,109,3.72,73.75,96.5,95.3,3300.0,3300.0,3366.0,3350.0,3200.0,3500.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2016,130,3.7,76.25,95.3,91.9,3402.0,3300.0,3509.0,3420.0,3200.0,3800.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2017,146,3.72,75.0,95.5,90.9,3361.0,3300.0,3427.0,3300.0,3135.0,3700.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2018,120,3.65,72.5,91.8,89.8,3520.0,3500.0,3627.0,3500.0,3300.0,3900.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2019,133,3.71,66.25,95.0,93.0,3685.0,3500.0,3746.0,3600.0,3400.0,4025.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2020,118,3.59,67.5,95.5,86.5,3661.0,3500.0,3739.0,3590.0,3500.0,4050.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2021,94,3.58,67.5,97.3,97.3,3780.0,3700.0,3897.0,3700.0,3500.0,4100.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2022,1167,3.56,71.25,93.8,88.9,3979.0,3921.0,4139.0,4000.0,3700.0,4400.0,National University of Singapore
NUS,Faculty of Engineering,Civil Engineering,2023,1292,3.55,72.5,93.9,87.7,3966.0,3900.0,4139.0,4000.0,3800.0,4500.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2013,112,3.68,71.25,88.9,85.6,3592.0,3200.0,3653.0,3200.0,3000.0,3970.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2014,87,3.78,72.5,95.2,92.4,3674.0,3500.0,3762.0,3500.0,3200.0,4080.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2015,102,3.77,76.25,91.8,90.6,4119.0,4000.0,4252.0,4000.0,3325.0,4583.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2016,139,3.77,80.0,89.1,85.9,3884.0,3700.0,3942.0,3900.0,3467.0,4500.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2017,141,3.81,80.0,89.4,84.7,4010.0,3600.0,4131.0,3900.0,3588.0,4500.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2018,174,3.74,80.0,88.6,84.3,4105.0,3800.0,4188.0,3975.0,3500.0,4900.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2019,181,3.87,80.0,92.9,91.7,4653.0,4000.0,4732.0,4000.0,3750.0,4900.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2020,166,3.87,83.75,93.7,81.1,4904.0,5000.0,4977.0,5000.0,4080.0,5500.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2021,197,3.85,82.5,97.4,91.2,5345.0,5000.0,5473.0,5400.0,4500.0,6200.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2022,182,3.88,81.25,94.5,92.7,6183.0,5900.0,6367.0,6000.0,5300.0,6800.0,National University of Singapore
NUS,Faculty of Engineering,Computer Engineering,2023,263,3.85,80.0,89.9,86.2,5529.0,5450.0,5737.0,5595.0,4900.0,6355.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2013,210,3.69,71.25,88.5,88.0,3286.0,3100.0,3334.0,3200.0,3000.0,3600.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2014,203,3.74,71.25,90.6,88.1,3306.0,3200.0,3571.0,3300.0,3000.0,3800.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2015,199,3.7,75.0,92.1,90.4,3452.0,3200.0,3589.0,3300.0,3000.0,3700.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2016,209,3.68,75.0,91.9,87.6,3669.0,3400.0,3765.0,3500.0,3200.0,4200.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2017,206,3.69,73.75,89.4,86.5,3529.0,3500.0,3641.0,3600.0,3300.0,3900.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2018,226,3.69,71.25,91.0,83.4,3712.0,3600.0,3982.0,3700.0,3400.0,4546.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2019,207,3.68,67.5,89.6,85.2,3957.0,3800.0,4101.0,4000.0,3600.0,4600.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2020,208,3.65,73.75,91.0,75.4,4256.0,4000.0,4370.0,4200.0,3800.0,5000.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2021,212,3.59,71.25,95.1,93.0,4251.0,4000.0,4377.0,4150.0,3900.0,4550.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2022,1167,3.56,71.25,92.2,90.7,4730.0,4700.0,4913.0,4800.0,4380.0,5500.0,National University of Singapore
NUS,Faculty of Engineering,Electrical Engineering,2023,1292,3.55,72.5,92.2,89.7,4790.0,4675.0,4918.0,4800.0,4340.0,5350.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2013,43,,72.5,86.2,75.9,2940.0,3000.0,2960.0,3000.0,2800.0,3150.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2014,27,3.91,72.5,81.3,62.5,3375.0,3300.0,3465.0,3400.0,3275.0,3790.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2015,22,3.92,75.0,82.6,73.9,3768.0,3735.0,3812.0,3800.0,3500.0,4420.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2016,31,3.86,81.25,85.2,74.1,3549.0,3400.0,3707.0,3740.0,3350.0,4026.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2017,28,,76.25,76.5,64.7,3783.0,3600.0,3827.0,3675.0,3440.0,4200.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2019,35,3.83,70.0,84.6,84.6,4115.0,3500.0,4285.0,3750.0,3400.0,5200.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2020,36,3.88,73.75,91.3,73.9,4499.0,4000.0,4584.0,4000.0,3765.0,5000.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2021,41,,71.25,89.5,68.4,4189.0,4500.0,4399.0,4500.0,4000.0,4900.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2022,1167,3.56,71.25,100.0,100.0,4622.0,4450.0,4659.0,4450.0,4080.0,5000.0,National University of Singapore
NUS,Faculty of Engineering,Engineering Science,2023,1292,3.55,72.5,77.8,77.8,4504.0,4200.0,4605.0,4500.0,4000.0,5200.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2013,91,3.66,71.25,93.8,87.5,3153.0,3100.0,3208.0,3110.0,3000.0,3500.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2014,78,3.72,73.75,95.2,92.9,3250.0,3200.0,3215.0,3230.0,3000.0,3422.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2015,54,3.69,73.75,88.1,85.7,3318.0,3430.0,3337.0,3450.0,3000.0,3670.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2016,56,3.71,75.0,79.3,65.5,3432.0,3300.0,3470.0,3350.0,3000.0,3832.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2017,52,3.69,73.75,86.3,71.2,3425.0,3100.0,3546.0,3350.0,3000.0,3800.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2018,38,3.59,71.25,88.9,74.6,3411.0,3300.0,3518.0,3400.0,3000.0,3868.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2019,47,3.57,71.25,89.5,80.7,3473.0,3400.0,3569.0,3400.0,3200.0,3900.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2020,30,3.54,72.5,100.0,63.2,3473.0,3500.0,3572.0,3500.0,3250.0,3875.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2021,32,,70.0,97.1,88.6,3572.0,3500.0,3607.0,3500.0,3300.0,3900.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2022,1167,3.56,71.25,87.1,83.9,4252.0,4000.0,4496.0,4200.0,3850.0,5000.0,National University of Singapore
NUS,Faculty of Engineering,Environmental Engineering,2023,1292,3.55,72.5,76.9,74.4,4199.0,4200.0,4299.0,4243.0,3900.0,4588.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2013,115,,78.75,93.9,92.4,3330.0,3200.0,3397.0,3200.0,3000.0,3800.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2014,110,,78.75,96.5,96.5,3591.0,3350.0,3719.0,3600.0,3200.0,4000.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2015,105,,77.5,96.1,94.7,3624.0,3475.0,3724.0,3500.0,3300.0,4030.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2016,95,3.94,80.0,80.3,78.9,3788.0,3450.0,3879.0,3500.0,3300.0,4250.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2017,94,,76.25,93.3,89.9,3905.0,3725.0,4035.0,3875.0,3450.0,4200.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2018,76,,72.5,91.5,87.8,3889.0,3800.0,4051.0,3895.0,3600.0,4500.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2019,65,,71.25,97.6,96.5,4303.0,3850.0,4451.0,4000.0,3500.0,4600.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2020,42,,72.5,97.2,93.0,4236.0,4010.0,4337.0,4380.0,3700.0,4800.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2021,88,3.77,71.25,96.7,91.8,4237.0,4150.0,4417.0,4500.0,4000.0,4900.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2022,1167,3.56,71.25,92.9,92.9,5137.0,5000.0,5281.0,5000.0,4290.0,5650.0,National University of Singapore
NUS,Faculty of Engineering,Industrial and Systems Engineering,2023,1292,3.55,72.5,94.6,94.6,4483.0,4500.0,4744.0,4600.0,4280.0,4990.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2013,56,,71.25,90.9,87.9,3036.0,3000.0,3169.0,3000.0,3000.0,3260.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2014,55,3.85,73.75,78.6,73.8,3054.0,3100.0,3350.0,3300.0,3000.0,3600.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2015,70,3.94,73.75,100.0,95.0,3121.0,3200.0,3391.0,3350.0,3050.0,3790.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2016,72,3.89,76.25,90.2,78.4,3381.0,3300.0,3501.0,3540.0,3200.0,3900.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2017,75,,72.5,94.0,86.0,3269.0,3200.0,3570.0,3388.0,3200.0,3950.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2018,99,3.74,71.25,88.6,86.4,3550.0,3600.0,3794.0,3600.0,3500.0,4305.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2019,79,3.76,67.5,78.6,76.2,3796.0,3700.0,4086.0,4000.0,3700.0,4600.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2020,32,3.61,72.5,90.3,66.1,3795.0,3700.0,3922.0,3900.0,3600.0,4200.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2021,59,3.62,70.0,91.7,87.5,3899.0,3775.0,4020.0,3896.0,3600.0,4200.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2022,1167,3.56,71.25,92.9,87.1,4384.0,4360.0,4539.0,4500.0,3850.0,5000.0,National University of Singapore
NUS,Faculty of Engineering,Materials Science and Engineering,2023,1292,3.55,72.5,83.0,75.5,4253.0,4200.0,4371.0,4346.0,4000.0,4700.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2013,296,3.75,71.25,89.1,87.2,3155.0,3000.0,3319.0,3225.0,3000.0,3500.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2014,334,3.89,76.25,90.0,88.5,3160.0,3100.0,3323.0,3200.0,3000.0,3500.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2015,329,3.83,76.25,83.3,80.0,3279.0,3200.0,3422.0,3300.0,3000.0,3600.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2016,311,3.81,80.0,86.6,81.0,3470.0,3300.0,3560.0,3400.0,3150.0,3800.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2017,369,3.8,75.0,87.3,82.3,3537.0,3400.0,3657.0,3450.0,3100.0,4000.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2018,342,3.66,71.25,92.8,86.9,3684.0,3500.0,3877.0,3700.0,3300.0,4100.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2019,346,3.65,71.25,88.6,86.7,3745.0,3500.0,3847.0,3700.0,3400.0,4300.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2020,338,3.58,73.75,94.2,69.6,3832.0,3700.0,3946.0,3800.0,3500.0,4200.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2021,270,3.61,72.5,94.5,89.5,3965.0,3800.0,4115.0,3875.0,3500.0,4550.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2022,1167,3.56,71.25,96.2,91.9,4594.0,4400.0,4780.0,4525.0,4000.0,5200.0,National University of Singapore
NUS,Faculty of Engineering,Mechanical Engineering,2023,1292,3.55,72.5,89.2,87.9,4578.0,4320.0,4722.0,4490.0,4030.0,5046.0,National University of Singapore
NUS,Faculty of Law,Law,2013,244,,85.0,98.8,98.2,4922.0,4800.0,5099.0,5000.0,4500.0,5800.0,National University of Singapore
NUS,Faculty of Law,Law,2014,242,3.79,85.0,98.2,97.6,5027.0,5000.0,5247.0,5150.0,4800.0,5800.0,National University of Singapore
NUS,Faculty of Law,Law,2015,253,3.83,85.0,96.9,96.9,4866.0,4600.0,4910.0,4700.0,4200.0,5800.0,National University of Singapore
NUS,Faculty of Law,Law,2016,237,3.84,85.0,97.7,95.9,4844.0,4775.0,4898.0,4900.0,4200.0,5600.0,National University of Singapore
NUS,Faculty of Law,Law,2017,227,3.8,85.0,95.8,92.3,4958.0,5000.0,5121.0,5000.0,4500.0,5600.0,National University of Singapore
NUS,Faculty of Law,Law,2018,250,3.77,85.0,97.3,92.6,5070.0,5000.0,5263.0,5500.0,4500.0,5840.0,National University of Singapore
NUS,Faculty of Law,Law,2019,223,3.86,85.0,95.7,93.0,5068.0,5000.0,5160.0,5400.0,4500.0,5800.0,National University of Singapore
NUS,Faculty of Law,Law,2020,219,3.81,85.0,91.8,86.8,4848.0,4640.0,5009.0,5000.0,4400.0,5600.0,National University of Singapore
NUS,Faculty of Law,Law,2021,234,3.87,85.0,96.5,93.5,5398.0,5150.0,5627.0,5600.0,4500.0,6000.0,National University of Singapore
NUS,Faculty of Law,Law,2022,244,3.82,85.0,97.3,94.6,5935.0,6000.0,6182.0,6400.0,5500.0,6800.0,National University of Singapore
NUS,Faculty of Law,Law,2023,233,3.75,85.0,96.9,96.9,7051.0,7000.0,7244.0,7000.0,6000.0,7100.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2013,1081,,73.75,83.6,74.0,3101.0,3000.0,3217.0,3100.0,2868.0,3500.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2014,1196,,72.5,86.6,75.8,3224.0,3200.0,3328.0,3210.0,2950.0,3600.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2015,1127,,75.0,83.9,76.2,3245.0,3200.0,3321.0,3300.0,3000.0,3600.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2016,1027,,77.5,84.9,71.7,3331.0,3300.0,3386.0,3300.0,3000.0,3650.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2017,851,,78.75,85.9,69.3,3340.0,3200.0,3435.0,3300.0,3000.0,3700.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2018,927,,80.0,87.3,72.8,3371.0,3300.0,3460.0,3400.0,3000.0,3725.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2019,571,,82.5,88.5,72.3,3510.0,3355.0,3605.0,3500.0,3100.0,3800.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2020,603,,82.5,93.1,57.4,3636.0,3500.0,3723.0,3528.0,3300.0,4000.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2021,2100,3.79,78.75,92.2,76.5,3665.0,3500.0,3767.0,3600.0,3400.0,4000.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2022,1971,3.67,77.5,90.6,80.1,4040.0,3720.0,4174.0,3850.0,3500.0,4500.0,National University of Singapore
NUS,Faculty of Science,Science (Hons),2023,1949,3.62,78.75,89.6,81.7,4180.0,3985.0,4290.0,4000.0,3600.0,4500.0,National University of Singapore
NUS,Faculty of Science,Data Science and Analytics,2016,1027,,80.0,,,,,,,,,National University of Singapore
NUS,Faculty of Science,Data Science and Analytics,2017,851,,82.5,,,,,,,,,National University of Singapore
NUS,Faculty of Science,Data Science and Analytics,2018,927,,80.0,,,,,,,,,National University of Singapore
NUS,Faculty of Science,Data Science and Analytics,2019,179,,80.0,,,,,,,,,National University of Singapore
NUS,Faculty of Science,Data Science and Analytics,2020,204,,82.5,100.0,78.3,4417.0,4125.0,4456.0,4125.0,3900.0,4900.0,National University of Singapore
NUS,Faculty of Science,Data Science and Analytics,2021,2100,3.79,78.75,97.7,95.3,4819.0,4500.0,4981.0,4800.0,4200.0,5400.0,National University of Singapore
